person_id,source_person_id,user_id,name,email,phone,skills,text,willingness_eff,willingness_bias,availability,home_location,availability_status
VOL-001,VOL-001,mock-volunteer-uuid,Test Volunteer,volunteer@test.com,1234567890,digital literacy;teaching;excel training;household survey,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning.",0.91,0.76,immediately available,Nirmalgaon,available
VOL-001-01,VOL-001,mock-volunteer-uuid-01,Test Volunteer 01,volunteer+01@test.com,9000000001,digital literacy;teaching;excel training;household survey;mobile data collection and dashboards,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 01 coordinates practical field work and supports the local team. Based in Nirmalgaon and available for generally available work.",0.61,0.43,generally available,Nirmalgaon,available
VOL-001-02,VOL-001,mock-volunteer-uuid-02,Test Volunteer 02,volunteer+02@test.com,9000000002,digital literacy;teaching;excel training;household survey;household survey and enumeration,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 02 focuses on rapid response and reliable handover. Based in Lakshmipur and available for rarely available work.",0.64,0.45,rarely available,Lakshmipur,busy
VOL-001-03,VOL-001,mock-volunteer-uuid-03,Test Volunteer 03,volunteer+03@test.com,9000000003,digital literacy;teaching;excel training;household survey;excel dashboards,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 03 helps with reporting, coordination, and resident communication. Based in Devnagar and available for immediately available work.",0.67,0.47,immediately available,Devnagar,available
VOL-001-04,VOL-001,mock-volunteer-uuid-04,Test Volunteer 04,volunteer+04@test.com,9000000004,digital literacy;teaching;excel training;household survey;mobile data collection and dashboards,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 04 works across village sites with a strong field orientation. Based in Riverbend and available for generally available work.",0.7,0.49,generally available,Riverbend,available
VOL-001-05,VOL-001,mock-volunteer-uuid-05,Test Volunteer 05,volunteer+05@test.com,9000000005,digital literacy;teaching;excel training;household survey;household survey and enumeration,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 05 covers follow-up visits, documentation, and on-ground support. Based in Sundarpur and available for rarely available work.",0.73,0.51,rarely available,Sundarpur,busy
VOL-001-06,VOL-001,mock-volunteer-uuid-06,Test Volunteer 06,volunteer+06@test.com,9000000006,digital literacy;teaching;excel training;household survey;excel dashboards,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 06 coordinates practical field work and supports the local team. Based in Nirmalgaon and available for immediately available work.",0.76,0.53,immediately available,Nirmalgaon,available
VOL-001-07,VOL-001,mock-volunteer-uuid-07,Test Volunteer 07,volunteer+07@test.com,9000000007,digital literacy;teaching;excel training;household survey;mobile data collection and dashboards,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 07 focuses on rapid response and reliable handover. Based in Lakshmipur and available for generally available work.",0.79,0.55,generally available,Lakshmipur,available
VOL-001-08,VOL-001,mock-volunteer-uuid-08,Test Volunteer 08,volunteer+08@test.com,9000000008,digital literacy;teaching;excel training;household survey;household survey and enumeration,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 08 helps with reporting, coordination, and resident communication. Based in Devnagar and available for rarely available work.",0.82,0.57,rarely available,Devnagar,busy
VOL-001-09,VOL-001,mock-volunteer-uuid-09,Test Volunteer 09,volunteer+09@test.com,9000000009,digital literacy;teaching;excel training;household survey;excel dashboards,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 09 works across village sites with a strong field orientation. Based in Riverbend and available for immediately available work.",0.85,0.59,immediately available,Riverbend,available
VOL-001-10,VOL-001,mock-volunteer-uuid-10,Test Volunteer 10,volunteer+10@test.com,9000000010,digital literacy;teaching;excel training;household survey;mobile data collection and dashboards,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 10 covers follow-up visits, documentation, and on-ground support. Based in Sundarpur and available for generally available work.",0.88,0.61,generally available,Sundarpur,available
VOL-001-11,VOL-001,mock-volunteer-uuid-11,Test Volunteer 11,volunteer+11@test.com,9000000011,digital literacy;teaching;excel training;household survey;household survey and enumeration,"Teaches digital literacy workshops, helps residents learn spreadsheets, and runs household surveys for village planning. Variant 11 coordinates practical field work and supports the local team. Based in Nirmalgaon and available for rarely available work.",0.6,0.63,rarely available,Nirmalgaon,busy
VOL-002,VOL-002,vol-sam-uuid,Skilled Sam,sam@test.com,2345678901,plumbing;construction;handpump repair and maintenance;pump maintenance,"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure.",0.93,0.73,immediately available,Sundarpur,available
VOL-002-01,VOL-002,vol-sam-uuid-01,Skilled Sam 01,sam+01@test.com,9000000101,plumbing;construction;handpump repair and maintenance;pump maintenance;pipe fitting,"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 01 coordinates practical field work and supports the local team. Based in Lakshmipur and available for rarely available work.",0.68,0.48,rarely available,Lakshmipur,busy
VOL-002-02,VOL-002,vol-sam-uuid-02,Skilled Sam 02,sam+02@test.com,9000000102,plumbing;construction;handpump repair and maintenance;pump maintenance;mechanical systems (pumps/filtration),"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 02 focuses on rapid response and reliable handover. Based in Devnagar and available for immediately available work.",0.71,0.5,immediately available,Devnagar,available
VOL-002-03,VOL-002,vol-sam-uuid-03,Skilled Sam 03,sam+03@test.com,9000000103,plumbing;construction;handpump repair and maintenance;pump maintenance;pump wiring,"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 03 helps with reporting, coordination, and resident communication. Based in Riverbend and available for generally available work.",0.74,0.52,generally available,Riverbend,available
VOL-002-04,VOL-002,vol-sam-uuid-04,Skilled Sam 04,sam+04@test.com,9000000104,plumbing;construction;handpump repair and maintenance;pump maintenance;pipe fitting,"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 04 works across village sites with a strong field orientation. Based in Sundarpur and available for rarely available work.",0.77,0.54,rarely available,Sundarpur,busy
VOL-002-05,VOL-002,vol-sam-uuid-05,Skilled Sam 05,sam+05@test.com,9000000105,plumbing;construction;handpump repair and maintenance;pump maintenance;mechanical systems (pumps/filtration),"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 05 covers follow-up visits, documentation, and on-ground support. Based in Nirmalgaon and available for immediately available work.",0.8,0.56,immediately available,Nirmalgaon,available
VOL-002-06,VOL-002,vol-sam-uuid-06,Skilled Sam 06,sam+06@test.com,9000000106,plumbing;construction;handpump repair and maintenance;pump maintenance;pump wiring,"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 06 coordinates practical field work and supports the local team. Based in Lakshmipur and available for generally available work.",0.83,0.58,generally available,Lakshmipur,available
VOL-002-07,VOL-002,vol-sam-uuid-07,Skilled Sam 07,sam+07@test.com,9000000107,plumbing;construction;handpump repair and maintenance;pump maintenance;pipe fitting,"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 07 focuses on rapid response and reliable handover. Based in Devnagar and available for rarely available work.",0.86,0.6,rarely available,Devnagar,busy
