proposal_id,source_proposal_id,title,text,village,village_address,lat,lng,category,status,seed_assignees,visual_tags,has_audio
PROB-001,PROB-001,Broken Handpump Near School,Urgent broken handpump near the primary school in Sundarpur. The pump is not drawing water and nearby families need immediate repair support.,Sundarpur,Near Primary School,21.1458,79.0882,infrastructure,in_progress,VOL-002;VOL-003,"[""broken pump"",""infrastructure damage""]",false
PROB-001-01,PROB-001,Broken Handpump Near School #01,Urgent broken handpump near the primary school in Sundarpur. The pump is not drawing water and nearby families need immediate repair support. Variant 01. pump repair crew This request is centered in Nirmalgaon.,Nirmalgaon,Near Primary School - Block 01,20.7453,78.6022,health,in_progress,VOL-003;VOL-002,"[""broken pump"",""infrastructure damage""]",false
PROB-001-02,PROB-001,Broken Handpump Near School #02,Urgent broken handpump near the primary school in Sundarpur. The pump is not drawing water and nearby families need immediate repair support. Variant 02. school access reliability This request is centered in Lakshmipur.,Lakshmipur,Near Primary School - Block 02,23.2,77.0833,infrastructure,completed,VOL-003;VOL-002,"[""broken pump"",""infrastructure damage""]",false
PROB-001-03,PROB-001,Broken Handpump Near School #03,Urgent broken handpump near the primary school in Sundarpur. The pump is not drawing water and nearby families need immediate repair support. Variant 03. urgent infrastructure response This request is centered in Devnagar.,Devnagar,Near Primary School - Block 03,23.2599,77.4126,digital,pending,VOL-003;VOL-002,"[""digital"",""devnagar""]",false
PROB-001-04,PROB-001,Broken Handpump Near School #04,Urgent broken handpump near the primary school in Sundarpur. The pump is not drawing water and nearby families need immediate repair support. Variant 04. pump repair crew This request is centered in Riverbend.,Riverbend,Near Primary School - Block 04,21.2514,81.6296,others,pending,VOL-003;VOL-002,"[""broken pump"",""infrastructure damage""]",true
PROB-001-05,PROB-001,Broken Handpump Near School #05,Urgent broken handpump near the primary school in Sundarpur. The pump is not drawing water and nearby families need immediate repair support. Variant 05. school access reliability This request is centered in Sundarpur.,Sundarpur,Near Primary School - Block 05,21.1458,79.0882,education,in_progress,VOL-003;VOL-002,"[""broken pump"",""infrastructure damage""]",false
PROB-001-06,PROB-001,Broken Handpump Near School #06,Urgent broken handpump near the primary school in Sundarpur. The pump is not drawing water and nearby families need immediate repair support. Variant 06. urgent infrastructure response This request is centered in Nirmalgaon.,Nirmalgaon,Near Primary School - Block 06,20.7453,78.6022,health,completed,VOL-003;VOL-002,"[""health"",""nirmalgaon""]",false
PROB-001-07,PROB-001,Broken Handpump Near School #07,Urgent broken handpump near the primary school in Sundarpur. The pump is not drawing water and nearby families need immediate repair support. Variant 07. pump repair crew This request is centered in Lakshmipur.,Lakshmipur,Near Primary School - Block 07,23.2,77.0833,infrastructure,pending,VOL-003;VOL-002,"[""broken pump"",""infrastructure damage""]",false
PROB-001-08,PROB-001,Broken Handpump Near School #08,Urgent broken handpump near the primary school in Sundarpur. The pump is not drawing water and nearby families need immediate repair support. Variant 08. school access reliability This request is centered in Devnagar.,Devnagar,Near Primary School - Block 08,23.2599,77.4126,digital,pending,VOL-003;VOL-002,"[""broken pump"",""infrastructure damage""]",true
PROB-001-09,PROB-001,Broken Handpump Near School #09,Urgent broken handpump near the primary school in Sundarpur. The pump is not drawing water and nearby families need immediate repair support. Variant 09. urgent infrastructure response This request is centered in Riverbend.,Riverbend,Near Primary School - Block 09,21.2514,81.6296,others,in_progress,VOL-003;VOL-002,"[""others"",""riverbend""]",false
